,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,4,Greuther Furth,0,1,Hamburger SV,3.81,3.63,1.85
1,4,Karlsruher SC,3,0,SV Sandhausen,2.42,3.24,2.77
2,4,Eintracht Braunschweig,2,1,VfL Bochum,3.19,3.44,2.11
3,4,Wurzburger Kickers,0,2,Holstein Kiel,3.50,3.61,1.94
4,4,Erzgebirge Aue,2,1,Heidenheimer,2.48,3.36,2.65
5,4,Fortuna Dusseldorf,2,2,Jahn Regensburg,1.73,3.72,4.33
6,4,SC Paderborn 07,1,0,Hannover 96,2.94,3.52,2.21
7,4,St. Pauli,2,2,Nurnberg,2.51,3.37,2.61
8,4,VfL Osnabruck,1,1,Darmstadt,2.54,3.37,2.59
9,5,Nurnberg,1,1,Karlsruher SC,2.06,3.41,3.37
10,5,Jahn Regensburg,3,0,Eintracht Braunschweig,2.13,3.38,3.22
11,5,Holstein Kiel,1,3,Greuther Furth,2.02,3.49,3.35
12,5,Darmstadt,2,2,St. Pauli,2.01,3.45,3.43
13,5,Hamburger SV,3,1,Wurzburger Kickers,1.46,4.36,6.19
14,5,Hannover 96,3,0,Fortuna Dusseldorf,1.89,3.63,3.66
15,5,VfL Bochum,2,0,Erzgebirge Aue,1.93,3.48,3.69
16,5,Heidenheimer,1,1,VfL Osnabruck,2.19,3.42,3.07
17,5,SV Sandhausen,1,1,SC Paderborn 07,2.24,3.38,3.01
18,6,Fortuna Dusseldorf,1,0,Heidenheimer,2.09,3.27,3.45
19,6,Hamburger SV,2,2,St. Pauli,1.58,3.81,5.56
20,6,SC Paderborn 07,3,1,Jahn Regensburg,2.06,3.23,3.52
21,6,VfL Osnabruck,2,1,SV Sandhausen,2.34,3.24,2.90
22,6,Erzgebirge Aue,1,1,Holstein Kiel,2.78,3.36,2.38
23,6,Eintracht Braunschweig,3,2,Nurnberg,3.25,3.33,2.14
24,6,Greuther Furth,4,1,Hannover 96,2.98,3.38,2.23
25,6,Karlsruher SC,3,4,Darmstadt,2.52,3.24,2.69
26,6,Wurzburger Kickers,2,3,VfL Bochum,3.66,3.51,1.93
