,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,1,Bayern Munchen,8,0,Schalke 04,1.14,8.28,15.44
1,1,Eintracht Frankfurt,1,1,Arminia Bielefeld,1.63,4.11,4.76
2,1,FC Koln,2,3,TSG Hoffenheim,2.51,3.56,2.60
3,1,VfB Stuttgart,2,3,SC Freiburg,2.23,3.42,3.09
4,1,Union Berlin,1,3,Augsburg,2.19,3.31,3.22
5,1,Werder Bremen,1,4,Hertha Berlin,2.62,3.42,2.54
6,1,Borussia Dortmund,3,0,Borussia Monchengladbach,1.62,4.22,4.73
7,1,RB Leipzig,3,1,FSV Mainz 05,1.37,5.20,6.82
8,1,VfL Wolfsburg,0,0,Bayer Leverkusen,2.82,3.45,2.37
9,2,Hertha Berlin,1,3,Eintracht Frankfurt,2.16,3.48,3.13
10,2,Arminia Bielefeld,1,0,FC Koln,2.69,3.45,2.44
11,2,Augsburg,2,0,Borussia Dortmund,5.67,4.48,1.50
12,2,Bayer Leverkusen,1,1,RB Leipzig,2.73,3.51,2.39
13,2,Borussia Monchengladbach,1,1,Union Berlin,1.52,4.19,5.84
14,2,FSV Mainz 05,1,4,VfB Stuttgart,2.27,3.49,2.90
15,2,Schalke 04,1,3,Werder Bremen,2.34,3.40,2.87
16,2,TSG Hoffenheim,4,1,Bayern Munchen,7.68,5.62,1.33
17,2,SC Freiburg,1,1,VfL Wolfsburg,2.87,3.31,2.38
18,3,Union Berlin,4,0,FSV Mainz 05,2.33,3.41,2.92
19,3,VfB Stuttgart,1,1,Bayer Leverkusen,3.96,3.86,1.80
20,3,Werder Bremen,1,0,Arminia Bielefeld,2.09,3.47,3.31
21,3,Borussia Dortmund,4,0,SC Freiburg,1.24,6.20,10.52
22,3,Eintracht Frankfurt,2,1,TSG Hoffenheim,2.23,3.57,2.96
23,3,FC Koln,1,3,Borussia Monchengladbach,3.40,3.64,2.01
24,3,RB Leipzig,4,0,Schalke 04,1.34,5.29,7.91
25,3,VfL Wolfsburg,0,0,Augsburg,1.70,3.85,4.59
26,3,Bayern Munchen,4,3,Hertha Berlin,1.13,8.53,17.36
27,4,Augsburg,0,2,RB Leipzig,5.14,4.26,1.57
28,4,SC Freiburg,1,1,Werder Bremen,2.23,3.41,3.12
29,4,Hertha Berlin,0,2,VfB Stuttgart,2.06,3.65,3.31
30,4,TSG Hoffenheim,0,1,Borussia Dortmund,3.98,4.06,1.77
31,4,FSV Mainz 05,0,1,Bayer Leverkusen,4.62,4.18,1.64
32,4,Arminia Bielefeld,1,4,Bayern Munchen,11.93,6.92,1.20
33,4,Borussia Monchengladbach,1,1,VfL Wolfsburg,1.99,3.65,3.49
34,4,FC Koln,1,1,Eintracht Frankfurt,2.67,3.60,2.42
35,4,Schalke 04,1,1,Union Berlin,2.56,3.26,2.72
36,5,VfB Stuttgart,1,1,FC Koln,2.14,3.58,3.11
37,5,FSV Mainz 05,2,3,Borussia Monchengladbach,4.28,3.89,1.74
38,5,RB Leipzig,2,1,Hertha Berlin,1.43,4.81,6.12
39,5,Bayern Munchen,5,0,Eintracht Frankfurt,1.18,7.33,12.13
40,5,Union Berlin,1,1,SC Freiburg,2.27,3.35,3.01
41,5,Borussia Dortmund,3,0,Schalke 04,1.23,6.15,10.86
42,5,VfL Wolfsburg,2,1,Arminia Bielefeld,1.68,3.77,4.74
43,5,Werder Bremen,1,1,TSG Hoffenheim,2.76,3.56,2.35
