,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away,Date,Status
0,1,Fortuna Dusseldorf,2,2,Eintracht Braunschweig,1.90,3.60,3.75,08-01 20:21,Live
1,1,Fortuna Dusseldorf,2,2,Eintracht Braunschweig,1.95,3.50,3.75,08-01 13:34,Live
2,1,Fortuna Dusseldorf,2,2,Eintracht Braunschweig,2.05,3.40,3.50,07-31 14:46,Live
3,1,Fortuna Dusseldorf,2,2,Eintracht Braunschweig,2.10,3.40,3.40,07-28 17:51,Live
4,1,Fortuna Dusseldorf,2,2,Eintracht Braunschweig,2.25,3.30,3.20,07-18 04:13,Live
5,1,Fortuna Dusseldorf,2,2,Eintracht Braunschweig,2.20,3.40,3.20,07-03 14:46,Live
6,1,Fortuna Dusseldorf,2,2,Eintracht Braunschweig,2.10,3.20,3.10,07-03 05:16,Live
7,1,RB Leipzig,0,0,Vfr Aalen,1.70,3.60,5.00,08-02 12:25,Live
8,1,RB Leipzig,0,0,Vfr Aalen,1.57,3.80,6.00,08-02 10:46,Live
9,1,RB Leipzig,0,0,Vfr Aalen,1.61,3.75,5.50,07-30 12:17,Live
10,1,RB Leipzig,0,0,Vfr Aalen,1.66,3.60,5.25,07-20 22:59,Live
11,1,RB Leipzig,0,0,Vfr Aalen,1.72,3.50,5.00,07-18 21:49,Live
12,1,RB Leipzig,0,0,Vfr Aalen,1.80,3.50,4.50,07-18 04:15,Live
13,1,RB Leipzig,0,0,Vfr Aalen,1.72,3.75,4.60,07-14 21:18,Live
14,1,RB Leipzig,0,0,Vfr Aalen,1.80,3.60,4.33,07-14 20:25,Live
15,1,RB Leipzig,0,0,Vfr Aalen,1.72,3.80,4.50,07-03 14:49,Live
16,1,RB Leipzig,0,0,Vfr Aalen,1.61,3.75,4.33,07-03 05:16,Live
17,1,St. Pauli,1,1,Ingolstadt,2.30,3.20,3.20,08-02 15:14,Live
18,1,St. Pauli,1,1,Ingolstadt,2.25,3.20,3.25,08-02 11:01,Live
19,1,St. Pauli,1,1,Ingolstadt,2.30,3.20,3.20,08-01 03:41,Live
20,1,St. Pauli,1,1,Ingolstadt,2.25,3.30,3.20,07-18 04:15,Live
21,1,St. Pauli,1,1,Ingolstadt,2.20,3.40,3.20,07-03 14:49,Live
22,1,St. Pauli,1,1,Ingolstadt,2.20,3.25,2.87,07-03 05:16,Live
23,1,VfL Bochum,1,1,Greuther Furth,3.25,3.20,2.25,08-02 14:21,Live
24,1,VfL Bochum,1,1,Greuther Furth,3.20,3.20,2.25,08-02 09:32,Live
25,1,VfL Bochum,1,1,Greuther Furth,3.50,3.25,2.10,08-02 08:58,Live
26,1,VfL Bochum,1,1,Greuther Furth,3.25,3.25,2.25,08-02 03:18,Live
27,1,VfL Bochum,1,1,Greuther Furth,3.20,3.20,2.30,07-27 23:09,Live
28,1,VfL Bochum,1,1,Greuther Furth,3.00,3.20,2.40,07-03 14:44,Live
29,1,VfL Bochum,1,1,Greuther Furth,2.80,3.10,2.30,07-03 05:16,Live
30,1,Heidenheimer,2,1,FSV Frankfurt,1.90,3.50,3.80,08-03 10:23,Live
31,1,Heidenheimer,2,1,FSV Frankfurt,2.00,3.40,3.75,07-29 00:54,Live
32,1,Heidenheimer,2,1,FSV Frankfurt,2.10,3.40,3.40,07-25 00:39,Live
33,1,Heidenheimer,2,1,FSV Frankfurt,2.20,3.40,3.20,07-17 16:30,Live
34,1,Heidenheimer,2,1,FSV Frankfurt,2.30,3.40,3.00,07-14 20:25,Live
35,1,Heidenheimer,2,1,FSV Frankfurt,2.37,3.40,2.87,07-03 14:46,Live
36,1,Heidenheimer,2,1,FSV Frankfurt,2.30,3.25,2.70,07-03 05:16,Live
37,1,Nurnberg,1,0,Erzgebirge Aue,1.61,4.00,5.00,07-27 23:05,Live
38,1,Nurnberg,1,0,Erzgebirge Aue,1.57,4.20,5.25,07-25 05:09,Live
39,1,Nurnberg,1,0,Erzgebirge Aue,1.57,4.20,5.25,07-21 22:02,Live
40,1,Nurnberg,1,0,Erzgebirge Aue,1.53,4.33,5.50,07-14 20:31,Live
41,1,Nurnberg,1,0,Erzgebirge Aue,1.50,4.33,6.00,07-03 14:47,Live
42,1,Nurnberg,1,0,Erzgebirge Aue,1.50,4.00,5.00,07-03 05:16,Live
43,1,Darmstadt,1,0,SV Sandhausen,2.05,3.30,3.60,08-03 12:47,Live
44,1,Darmstadt,1,0,SV Sandhausen,2.00,3.30,3.80,08-03 09:49,Live
45,1,Darmstadt,1,0,SV Sandhausen,2.10,3.30,3.50,08-01 03:41,Live
46,1,Darmstadt,1,0,SV Sandhausen,2.10,3.40,3.40,07-19 17:07,Live
47,1,Darmstadt,1,0,SV Sandhausen,2.20,3.40,3.20,07-17 16:30,Live
48,1,Darmstadt,1,0,SV Sandhausen,2.25,3.40,3.10,07-15 16:38,Live
49,1,Darmstadt,1,0,SV Sandhausen,2.35,3.30,3.00,07-14 20:25,Live
50,1,Darmstadt,1,0,SV Sandhausen,2.40,3.30,2.90,07-03 14:46,Live
51,1,Darmstadt,1,0,SV Sandhausen,2.30,3.25,2.70,07-03 05:16,Live
52,1,Karlsruher SC,0,0,Union Berlin,2.00,3.50,3.60,08-03 15:29,Live
53,1,Karlsruher SC,0,0,Union Berlin,2.10,3.40,3.40,08-03 14:57,Live
54,1,Karlsruher SC,0,0,Union Berlin,2.00,3.50,3.60,08-02 14:37,Live
55,1,Karlsruher SC,0,0,Union Berlin,2.10,3.40,3.40,08-01 03:45,Live
56,1,Karlsruher SC,0,0,Union Berlin,2.15,3.40,3.25,07-31 12:44,Live
57,1,Karlsruher SC,0,0,Union Berlin,2.20,3.40,3.20,07-03 14:47,Live
58,1,Karlsruher SC,0,0,Union Berlin,2.10,3.20,3.10,07-03 05:16,Live
59,1,Kaiserslautern,3,2,TSV 1860 Munchen,1.57,3.60,6.50,08-04 19:14,Live
60,1,Kaiserslautern,3,2,TSV 1860 Munchen,1.66,3.50,5.50,08-04 18:45,Live
61,1,Kaiserslautern,3,2,TSV 1860 Munchen,1.72,3.50,5.00,08-04 17:40,Live
62,1,Kaiserslautern,3,2,TSV 1860 Munchen,1.66,3.60,5.50,08-04 06:43,Live
63,1,Kaiserslautern,3,2,TSV 1860 Munchen,1.72,3.60,4.75,08-01 03:48,Live
64,1,Kaiserslautern,3,2,TSV 1860 Munchen,1.75,3.60,4.75,07-18 21:49,Live
65,1,Kaiserslautern,3,2,TSV 1860 Munchen,1.80,3.75,4.20,07-17 12:43,Live
66,1,Kaiserslautern,3,2,TSV 1860 Munchen,1.90,3.60,3.75,07-14 20:25,Live
67,1,Kaiserslautern,3,2,TSV 1860 Munchen,2.00,3.50,3.60,07-03 14:47,Live
68,1,Kaiserslautern,3,2,TSV 1860 Munchen,1.90,3.40,3.40,07-03 05:16,Live
69,2,FSV Frankfurt,2,3,Karlsruher SC,3.00,3.20,2.40,08-08 18:06,Live
70,2,FSV Frankfurt,2,3,Karlsruher SC,3.00,3.20,2.37,08-08 12:04,Live
71,2,FSV Frankfurt,2,3,Karlsruher SC,2.80,3.25,2.50,08-08 01:36,Live
72,2,FSV Frankfurt,2,3,Karlsruher SC,2.70,3.40,2.50,08-07 23:38,Live
73,2,FSV Frankfurt,2,3,Karlsruher SC,2.60,3.40,2.60,08-07 08:57,Live
74,2,FSV Frankfurt,2,3,Karlsruher SC,2.50,3.50,2.62,08-04 13:06,Live
75,2,Vfr Aalen,2,0,St. Pauli,2.55,3.20,2.75,08-08 18:01,Live
76,2,Vfr Aalen,2,0,St. Pauli,2.62,3.20,2.70,08-08 17:42,Live
77,2,Vfr Aalen,2,0,St. Pauli,2.70,3.20,2.60,08-08 16:52,Live
78,2,Vfr Aalen,2,0,St. Pauli,2.62,3.25,2.62,08-08 16:09,Live
79,2,Vfr Aalen,2,0,St. Pauli,2.50,3.25,2.80,08-08 01:36,Live
